ccbaCpno_item,ccbaMnm1_item
1123700570000,안동 조탑리 오층전탑
1123700580000,안동 안기동 석조여래좌상
1123700590000,영주 숙수사지 당간지주
1123700600000,영주 영주동 석조여래입상
1123700610000,경주 불국사 사리탑
1123700620000,경주 서악동 마애여래삼존입상
1123700630000,경주 배동 석조여래삼존입상
1123700640000,경주 보문사지 석조
1123700650000,경주 서악동 삼층석탑
1123700660000,경주 석빙고
1123700670000,경주 효현동 삼층석탑
1123700680000,경주 황남동 효자 손시양 정려비
1123700690000,경주 망덕사지 당간지주
1123700700000,경주 서악동 귀부
1123800710000,함안 대산리 석조삼존상
1123800720000,산청 단속사지 동 삼층석탑
1123800730000,산청 단속사지 서 삼층석탑
1123800740000,양산 통도사 국장생 석표
1123800750000,창녕 송현동 마애여래좌상
1123200760000,춘천 근화동 당간지주
1123200770000,춘천 칠층석탑
1123200780000,원주 거돈사지 원공국사탑비
1123200790000,홍천 희망리 삼층석탑
1123200800000,홍천 희망리 당간지주
1123200810000,강릉 한송사지 석조보살좌상
1123200820000,강릉 대창리 당간지주
1123200830000,강릉 수문리 당간지주
1123200840000,강릉 신복사지 석조보살좌상
1123200850000,강릉 굴산사지 승탑
1123200860000,강릉 굴산사지 당간지주
1123200870000,강릉 신복사지 삼층석탑
1123600880000,탑산사명 동종
1123600890000,영암 도갑사 석조여래좌상
1123600900000,대반열반경소 권9~10
1123100910000,여주 창리 삼층석탑
1123100920000,여주 하리 삼층석탑
1123100930000,파주 용미리 마애이불입상
1123300940000,제천 사자빈신사지 사사자 구층석탑
1123300950000,충주 미륵리 오층석탑
1123300960000,충주 미륵리 석조여래입상
1123300970000,괴산 원풍리 마애이불병좌상
1123300980000,충주 철조여래좌상
1123400990000,천안 천흥사지 당간지주
1123401000000,당진 안국사지 석조여래삼존입상
1123401010000,당진 안국사지 석탑
1123401020000,서산 보원사지 석조
1123401030000,서산 보원사지 당간지주
1123401040000,서산 보원사지 오층석탑
1123401050000,서산 보원사지 법인국사탑
1123401060000,서산 보원사지 법인국사탑비
1123401070000,부여 보광사지 대보광선사비
1123401080000,부여 정림사지 석조여래좌상
1122401090000,(전)광주 성거사지 오층석탑
1122401100000,광주 지산동 오층석탑
1123601110000,담양 개선사지 석등
1123601120000,광양 중흥산성 삼층석탑
1123701130000,청도 봉기리 삼층석탑
1123701140000,안동 평화동 삼층석탑
1123701150000,안동 이천동 마애여래입상
1123701160000,영주 석교리 석조여래입상
1123701170000,상주 화달리 삼층석탑
1123701180000,상주 증촌리 석조여래입상
1123701190000,상주 복용동 석조여래좌상
1123701200000,상주 증촌리 석조여래좌상
1123701210000,경주 굴불사지 석조사면불상
1123701220000,경주 율동 마애여래삼존입상
1123701230000,경주 보문사지 당간지주
1123701240000,경주 남산동 동·서 삼층석탑
1123701250000,경주 무장사지 아미타불 조상 사적비
1123701260000,경주 무장사지 삼층석탑
1123701270000,경주 삼랑사지 당간지주
1123801280000,합천 반야사지 원경왕사비
1123801290000,합천 월광사지 동·서 삼층석탑
1122401310000,광주 증심사 철조비로자나불좌상
1123601320000,구례 화엄사 동 오층석탑
1123601330000,구례 화엄사 서 오층석탑
1123601340000,순천 송광사 경질
1122201350000,대구 산격동 연화 운룡장식 승탑
1123701360000,경주 남산 미륵곡 석조여래좌상
1123701370000,문경 봉암사 지증대사탑
1121101410000,서울 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>
1121101420000,서울 동관왕묘
1123401430000,서산 개심사 대웅전
1123801460000,창녕 관룡사 약사전
1123801470000,밀양 영남루
1123401480000,공주 중동 석조
1123401490000,공주 반죽동 석조
1123401500000,공주 반죽동 당간지주
1123601510000,구례 연곡사 삼층석탑
1123601520000,구례 연곡사 현각선사탑비
1123601530000,구례 연곡사 동 승탑비
1123601540000,구례 연곡사 소요대사탑
1123601550000,장흥 보림사 동 승탑
1123601560000,장흥 보림사 서 승탑
1123601570000,장흥 보림사 보조선사탑
1123601580000,장흥 보림사 보조선사탑비
1123801590000,함안 방어산 마애약사여래삼존입상
1123701600000,유성룡 종가 문적
1122301610000,강화 정수사 법당
1123401620000,청양 장곡사 상 대웅전
1123201640000,춘천 청평사 회전문
1123201650000,강릉 오죽헌
1121101660000,서울 홍제동 오층석탑
1123501670000,정읍 은선리 삼층석탑
1123701680000,경주 천군동 동·서 삼층석탑
1123701690000,문경 봉암사 삼층석탑
1123601700000,화순 쌍봉사 철감선사탑비
1123701710000,문경 봉암사 정진대사탑
1123701720000,문경 봉암사 정진대사탑비
1122601730000,울주 망해사지 승탑
1123401740000,청양 장곡사 철조비로자나불좌상 및 석조대좌
1123601750000,순천 송광사 경패
1123601760000,순천 송광사 금동요령
1121101770000,사직단 대문
1122301780000,강화 전등사 대웅전
1122301790000,강화 전등사 약사전
1123101800000,여주 신륵사 조사당
1123401810000,청양 장곡사 하 대웅전
1123701820000,안동 임청각
1123201830000,강릉 해운정
1123401840000,부여 장하리 삼층석탑
1123401850000,부여 무량사 오층석탑
1123701860000,경주 남산 용장사곡 삼층석탑
1123701870000,경주 남산 용장사곡 석조여래좌상
1123701880000,의성 관덕리 삼층석탑
1123701890000,칠곡 송림사 오층전탑
1121101900000,원주 거돈사지 원공국사탑
1123201910000,강릉 보현사 낭원대사탑
1123201920000,강릉 보현사 낭원대사탑비
1123701930000,청도 운문사 금당 앞 석등
1123401940000,부여 석조
1123401960000,금동정지원명석가여래삼존입상
1123401970000,청양 읍내리 석조여래삼존입상
1123701980000,경주 남산 불곡 마애여래좌상
1123701990000,경주 남산 신선암 마애보살반가상
1123702010000,경주 남산 탑곡 마애불상군
1123702020000,의성 관덕동 석사자
1123702030000,청도 박곡리 석조여래좌상
1123602040000,묘법연화경관세음보살보문품삼현원찬과문
1123602050000,대승아비달마잡집론소 권13~14
1123602060000,묘법연화경찬술 권1~2
1123602070000,금강반야경소개현초 권4~5
1123702080000,청도 운문사 동호
1122502090000,대전 회덕 동춘당
1123702100000,안동 도산서원 전교당
1123702110000,안동 도산서원 상덕사 및 삼문
1123802120000,창녕 관룡사 대웅전
1123202130000,삼척 죽서루
1123202140000,강릉향교 대성전
1121102150000,서울 북한산 구기동 마애여래좌상
1123302160000,보은 법주사 마애여래의좌상
1123402170000,부여 대조사 석조미륵보살입상
1123402190000,논산 개태사지 석조여래삼존입상
1123702200000,영주 북지리 석조여래좌상(1963-1)
1123702200200,영주 북지리 석조여래좌상(1963-2)
1123702210000,영주 가흥동 마애여래삼존상 및 여래좌상
1123802220000,합천 치인리 마애여래입상
1123202230000,철원 도피안사 삼층석탑
1123402240000,서천 성북리 오층석탑
1123102250000,여주 신륵사 다층석탑
1123102260000,여주 신륵사 다층전탑
1123802270000,창녕 인양사 조성비
1123102280000,여주 신륵사 보제존자석종
1123102290000,여주 신륵사 보제존자석종비
1123102300000,여주 신륵사 대장각기비
1123102310000,여주 신륵사 보제존자석종 앞 석등
1123402320000,논산 관촉사 석등
1123402330000,부여 무량사 석등
1123502340000,군산 발산리 석등
1121102350000,서울 장의사지 당간지주
1123502360000,익산 미륵사지 당간지주
1121102380000,백자 박산형뚜껑 향로
1123702390000,분청사기 상감모란문 매병
1121102400000,백자 청화투각모란당초문 항아리
1123702420000,안동 개목사 원통전
1122202430000,대구 동화사 마애여래좌상
1122202440000,대구 동화사 비로암 석조비로자나불좌상
1123702450000,김천 갈항사지 석조여래좌상
1123702460000,의성 고운사 석조여래좌상
1122202470000,대구 동화사 비로암 삼층석탑
1122202480000,대구 동화사 금당암 동·서 삼층석탑
1123702490000,영주 부석사 삼층석탑
1122102500000,부산 범어사 삼층석탑
1123702510000,칠곡 선봉사 대각국사비
1123702520000,포항 보경사 원진국사비
1123802530000,합천 청량사 석등
1122202540000,대구 동화사 당간지주
1123702550000,영주 부석사 당간지주
1123402560000,공주 갑사 철당간
1123402570000,공주 갑사 승탑
1122202580000,대구 산격동 사자 주악장식 승탑
1123102590000,남양주 수종사 사리탑 사리장엄구
1123602600000,유희춘 미암일기 및 미암집 목판
1123702610000,권벌 충재일기
1123702620000,근사록(1963)
1123602630000,순천 송광사 하사당
1123802640000,합천 해인사 석조여래입상
1123802650000,합천 청량사 석조여래좌상
1123802660000,합천 청량사 삼층석탑
1123502670000,임실 진구사지 석등
1122202680000,분청사기 상감연화문 편병
1123402690000,감지은니 묘법연화경 권1
1123402690200,"감지은니 묘법연화경 권2, 4, 5, 6"
1122102690300,감지은니 묘법연화경 권3
1121102690400,감지은니 묘법연화경 권7(2007)
1123402700000,감지금니 묘법연화경 권6
1122202710000,백지은니 대불정여래밀인수증요의제보살만행수능엄경 권10
1123502720000,장수향교 대성전
1123602730000,곡성 태안사 적인선사탑
1123602740000,곡성 태안사 광자대사탑
1123602750000,곡성 태안사 광자대사탑비
1123502760000,군산 발산리 오층석탑
1123502770000,부안 내소사 동종
1123502780000,백지묵서 묘법연화경
1123502790000,고창 선운사 금동지장보살좌상
1123502800000,고창 선운사 도솔암 금동지장보살좌상
1123502810000,남원 광한루
1121102820000,여주 고달사지 쌍사자 석등
1121102830000,금보
1121102840000,금동여래입상(1963)
1121102850000,금동보살입상(1963-1)
1121102860000,청자 상감포도동자문 매병
1121102870000,분청사기 박지철채화문 병
1123102880000,청동 은입사 향완
1123502890000,정읍 피향정
1123502900000,고창 선운사 대웅전
1123502910000,부안 내소사 대웅보전
1123502920000,부안 개암사 대웅전
1123802940000,함양 승안사지 삼층석탑
1123802950000,창녕 관룡사 용선대 석조여래좌상
1123702960000,김천 청암사 수도암 석조보살좌상
1123702970000,김천 청암사 수도암 동·서 삼층석탑
1123602980000,강진 월남사지 삼층석탑
1123602990000,구례 화엄사 대웅전
1123603000000,구례 화엄사 원통전 앞 사자탑
1123603010000,해남 대흥사 북미륵암 삼층석탑
1123603020000,순천 송광사 약사전
1123603030000,순천 송광사 영산전
1123603040000,보성 벌교 홍교
1123703050000,안동 석빙고
1123703060000,안동 하회 양진당
1123703070000,김천 청암사 수도암 석조비로자나불좌상
1123503080000,전주 풍남문
1123503090000,정읍 천곡사지 칠층석탑
1123803100000,창녕 석빙고
1122403110000,노인 금계일기
1123803120000,밀양 소태리 오층석탑
1123603130000,강진 월남사지 진각국사비
1123703140000,감지금니 묘법연화경 권3~4
