ccbaCpno_item,ccbaMnm1_item
1123707170000,주세붕 초상
1121107190000,원각류해 권3
1121107200000,금강반야경소론찬요조현록(1981)
1123707290000,예천 용문사 감역교지
1123707300000,울진 불영사 응진전
1123807340000,합천 해인사 고려목판
1123707350000,영주 부석사 고려목판
1121107360000,정명경집해관중소 권3~4
1123607370000,불조역대통재
1123807380000,문수사리보살최상승무생계경
1121107450100,월인석보 권1~2
1121107450200,"월인석보 권7, 8"
1121107450400,"월인석보 권13, 14"
1123207450500,월인석보 권17~18
1121107450700,월인석보 권22
1121107450800,월인석보 권23
1123607450900,월인석보 권25
1123507451000,월인석보 권15
1121107480000,서울 경국사 목각아미타여래설법상
1123107490000,고양 태고사 원증국사탑
1123207500000,원주 거돈사지 삼층석탑
1123807570000,감지금니대방광불화엄경 주본 권46
1121107580000,남명천화상송증도가(1984)
1121107610000,"대불정여래밀인수증요의제보살만행수능엄경(언해) 권2, 5"
1121107620000,"대불정여래밀인수증요의제보살만행수능엄경(언해) 권7, 8"
1121107630000,"대불정여래밀인수증요의제보살만행수능엄경(언해) 권7,8,9,10"
1121107650000,대불정여래밀인수증요의제보살만행수능엄경(언해)
1121107690000,몽산화상법어약록(언해)(1984-3)
1121107700000,목우자수심결(언해)(1984)
1121107710000,반야바라밀다심경약소(언해)
1121107720000,"금강경삼가해 권1, 5"
1121107720200,"금강경삼가해 권2, 3, 4, 5"
1123607720300,금강경삼가해 권1
1121107740000,선종영가집(언해)(1984)
1123707900000,영천 은해사 백흥암 극락전
1123407940000,예산 화전리 석조사면불상
1123607950000,장흥 천관사 삼층석탑
1123607960000,화순 운주사 구층석탑
1123607970000,화순 운주사 석조불감
1123607980000,화순 운주사 원형 다층석탑
1123407990000,공주 마곡사 오층석탑
1123408000000,공주 마곡사 영산전
1123408010000,공주 마곡사 대웅보전
1123408020000,공주 마곡사 대광보전
1123508030000,고창 선운사 참당암 대웅전
1123608040000,순천 정혜사 대웅전
1122208050000,대구 북지장사 지장전
1121108090000,경복궁 자경전
1121108100000,경복궁 자경전 십장생굴뚝
1121108110000,경복궁 아미산 굴뚝
1121108120000,경복궁 근정문 및 행각
1121108130000,창덕궁 인정문
1121108140000,창덕궁 선정전
1121108150000,창덕궁 희정당
1121108160000,창덕궁 대조전
1121108170000,창덕궁 선원전
1121108180000,창경궁 통명전
1121108190000,덕수궁 중화전 및 중화문
1121108200000,덕수궁 함녕전
1121108210000,종묘 영녕전
1123108220000,이천 영월암 마애여래입상
1123108230000,안성 석남사 영산전
1123108240000,안성 청룡사 대웅전
1123508250000,익산 숭림사 보광전
1123508260000,김제 귀신사 대적광전
1123508270000,김제 금산사 대장전
