ccbaCpno_item,ccbaCtcd_item,ccbaLcto_item
1333401050000,34,31
1113403230000,34,35
1123402190000,34,35
1123402320000,34,35
1123404080000,34,35
1123415690000,34,35
1123417460000,34,35
1333403830000,34,35
1333403930000,34,35
1333405400000,34,35
1123401080000,34,36
1123401840000,34,36
1123401850000,34,36
1123402170000,34,36
1123402330000,34,36
1123403560000,34,36
1123412650000,34,36
1123413390000,34,36
1123415650000,34,36
1333400040000,34,36
1333400050000,34,36
1333400140000,34,36
1333400340000,34,36
1333400440000,34,36
1333400580000,34,36
1333400590000,34,36
1333400890000,34,36
1333400990000,34,36
1333401350000,34,36
1333401560000,34,36
1333402490000,34,36
1333403010000,34,36
1333404200000,34,36
1333404250000,34,36
1333404270000,34,36
1333404280000,34,36
1333404340000,34,36
1333404350000,34,36
1333404810000,34,36
1123402240000,34,37
1333400600000,34,37
1333404730000,34,37
1113400580000,34,39
1113403000000,34,39
1123400180000,34,39
1123401620000,34,39
1123401740000,34,39
1123401810000,34,39
1123401970000,34,39
1123409860000,34,39
1123403550000,34,40
1123403990000,34,40
1123405380000,34,40
1123412620000,34,40
1333402310000,34,40
1333404310000,34,40
1113400490000,34,41
1123405080000,34,41
1121105681300,34,41
1123407940000,34,41
1123412630000,34,41
1123413810000,34,41
1123415720000,34,41
1333400900000,34,41
1333402290000,34,41
1123401000000,34,43
1123401010000,34,43
1123404090000,34,43
1123409870000,34,43
1333405290000,34,43
1113403070000,34,46
1333405600000,34,46
1123503080000,35,11
1123505830000,35,11
1123515780000,35,11
1333502880000,35,11
1333502940000,35,11
1333503390000,35,11
1333503790000,35,11
1123502340000,35,12
1123502760000,35,12
1113500100000,35,15
1123500300000,35,15
1123500310000,35,15
1123500320000,35,15
1123500330000,35,15
1123500340000,35,15
1123500350000,35,15
1123500360000,35,15
1123500370000,35,15
1123500380000,35,15
1123500390000,35,15
1123500400000,35,15
1123500410000,35,15
1123500420000,35,15
1123500430000,35,15
1123502810000,35,15
1123504200000,35,15
1123504220000,35,15
1123504230000,35,15
1123511230000,35,15
1333501040000,35,15
1333502720000,35,15
1333502980000,35,15
1333503090000,35,15
1333503490000,35,15
1333505420000,35,15
1113500620000,35,16
1123500220000,35,16
1123500230000,35,16
1123500240000,35,16
1123500250000,35,16
1123500260000,35,16
1123500270000,35,16
1123500280000,35,16
1123500290000,35,16
1123508260000,35,16
1123508270000,35,16
1123508280000,35,16
1123515160000,35,16
1333501110000,35,16
1123501670000,35,17
1123502890000,35,17
1123503090000,35,17
1123509140000,35,17
1333501660000,35,17
1333502930000,35,17
1333502950000,35,17
1333504940000,35,17
1333505430000,35,17
1113500110000,35,18
1113502890000,35,18
1123500450000,35,18
1123500460000,35,18
1123502360000,35,18
1123508250000,35,18
1333500870000,35,18
1333500920000,35,18
1333501500000,35,18
1333503180000,35,18
1333503470000,35,18
1333504050000,35,18
1333504080000,35,18
1113503160000,35,31
1123506080000,35,31
1123506620000,35,31
1123512430000,35,31
1123512440000,35,31
1123512550000,35,31
1123512740000,35,31
1123514340000,35,31
1333504710000,35,31
1123512660000,35,32
1123520550000,35,32
1333505510000,35,32
1123512670000,35,33
1123521290000,35,33
1333501460000,35,33
1123502720000,35,34
1333505520000,35,34
1123502670000,35,35
1123507451000,35,37
1123502790000,35,39
1123502800000,35,39
1123502900000,35,39
1123508030000,35,39
1123512000000,35,39
1123520650000,35,39
1333501450000,35,39
1333503450000,35,39
1333503460000,35,39
1333503910000,35,39
1333505310000,35,39
1123502770000,35,40
1123502910000,35,40
1123502920000,35,40
1123512680000,35,40
1123512690000,35,40
1333500690000,35,40
1333500700000,35,40
1333501030000,35,40
1333505410000,35,40
1333602890000,36,11
1113603040000,36,12
1123603960000,36,12
1123605630000,36,12
1123605710000,36,12
1123605780000,36,12
1123612880000,36,12
1123613310000,36,12
1123613320000,36,12
1123613330000,36,12
1123615560000,36,12
1123615660000,36,12
1333603810000,36,12
1333603920000,36,12
1333605230000,36,12
1113600420000,36,13
1113600430000,36,13
1113600560000,36,13
1113603140000,36,13
1123600900000,36,13
1123601340000,36,13
1123601750000,36,13
1123602040000,36,13
1123602050000,36,13
1123602060000,36,13
1123602070000,36,13
1123602630000,36,13
1123603020000,36,13
1123603030000,36,13
1123603950000,36,13
1123604000000,36,13
1123605720000,36,13
1123608040000,36,13
1123608310000,36,13
1123609450000,36,13
1123609460000,36,13
1123610430000,36,13
1123610440000,36,13
1123611170000,36,13
1123611840000,36,13
1123611850000,36,13
1123613110000,36,13
1123613670000,36,13
1123613680000,36,13
1123614670000,36,13
1123615490000,36,13
1123615580000,36,13
1123621010000,36,13
1123621220000,36,13
1333603020000,36,13
1333604180000,36,13
1333604580000,36,13
1123600490000,36,14
1123600500000,36,14
1123603940000,36,14
1123604610000,36,14
1123604620000,36,14
1123612790000,36,14
1123613100000,36,14
1123613430000,36,14
1123615440000,36,14
1123615450000,36,14
1123620370000,36,14
1333603370000,36,14
1333604040000,36,14
1333604560000,36,14
1333604830000,36,14
1123601120000,36,17
1333604070000,36,17
1333604920000,36,17
1123601110000,36,32
1123605050000,36,32
1123605060000,36,32
