ccbaCpno,ccbaKdcd,ccmaName,crltsnoNm,ccbaMnm1,ccbaMnm2,ccbaCtcd,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaAsno,longitude,latitude,ccbaPcd1,ccbaPcd1Nm
1113702010000,11,국보,201,봉화 북지리 마애여래좌상,奉化 北枝里 磨崖如來坐像,37,경북,봉화군,봉화군,02010000,128.736910477051,36.9312841780527,13,신라
1113702420000,11,국보,242,울진 봉평리 신라비,蔚珍 鳳坪里 新羅碑,37,경북,울진군,울진군,02420000,129.4091392,37.04460792,13,신라
1113702640000,11,국보,264,포항 냉수리 신라비,浦項 冷水里 新羅碑,37,경북,포항시,포항시,02640000,129.263064134895,36.1298728090165,13,신라
1113703180000,11,국보,318,포항 중성리 신라비,浦項 中城里 新羅碑,37,경북,경주시,문화재청 국립경주문화재연구소,03180000,129.30794819267,35.7833056305235,13,신라
1123400210000,12,보물,21,부여 당 유인원 기공비,扶餘 唐 劉仁願 紀功碑,34,충남,부여군,국립부여박물관,00210000,126.917897,36.275668,13,신라
1122603700000,12,보물,370,울주 간월사지 석조여래좌상,蔚州 澗月寺址 石造如來坐像,26,울산,울주군,울주군,03700000,129.072736341683,35.5554301483141,13,신라
1123204430000,12,보물,443,속초 향성사지 삼층석탑,束草 香城寺址 三層石塔,32,강원,속초시,속초시,04430000,128.499525766915,38.172002730087,13,신라
1123804800000,12,보물,480,합천 영암사지 삼층석탑,陜川 靈岩寺址 三層石塔,38,경남,합천군,합천군,04800000,128.002875673369,35.4742972369922,13,신라
1123605090000,12,보물,509,구례 논곡리 삼층석탑,求禮 論谷里 三層石塔,36,전남,구례군,구례군,05090000,127.386078380263,35.2305833487503,13,신라
1123705170000,12,보물,517,영천 청제비,永川 菁堤碑,37,경북,영천시,안＊＊＊,05170000,128.940909,35.925191,13,신라
1123805190000,12,보물,519,창녕 관룡사 석조여래좌상,昌寧 觀龍寺 石造如來坐像,38,경남,창녕군,관룡사,05190000,128.553250606709,35.5317851734924,13,신라
1123205440000,12,보물,544,홍천 물걸리 석조대좌 및 광배,洪川 物傑里 石造臺座 및 光背,32,강원,홍천군,홍천군,05440000,128.146814881683,37.7862590754558,13,신라
1123706770000,12,보물,677,청도 장연사지 동·서 삼층석탑,淸道 長淵寺址 東·西 三層石塔,37,경북,청도군,청도군,06770000,128.854396234692,35.6343873773317,13,신라
1123719280000,12,보물,1928,경주 미탄사지 삼층석탑,慶州 味呑寺地 三層石塔,37,경북,경주시,경주시,19280000,129.23433800149,35.8335929863765,13,신라
1333700060000,13,사적,6,경주 황룡사지,慶州 皇龍寺址,37,경북,경주시,경주시,00060000,129.2307733,35.83572849,13,신라
1333700150000,13,사적,15,경주 흥륜사지,慶州 興輪寺址,37,경북,경주시,경주시,00150000,129.206965660819,35.8284344285037,13,신라
1333700160000,13,사적,16,경주 월성,慶州 月城,37,경북,경주시,경주시,00160000,129.223004059861,35.8318014319246,13,신라
1333700190000,13,사적,19,경주 계림,慶州 鷄林,37,경북,경주시,경주시,00190000,129.218356521634,35.8322250736519,13,신라
1333700220000,13,사적,22,경주 남산신성,慶州 南山新城,37,경북,경주시,경주시,00220000,129.228795883341,35.7937052372563,13,신라
1333700240000,13,사적,24,경주 진덕여왕릉,慶州 眞德女王陵,37,경북,경주시,경주시,00240000,129.201662,35.886935,13,신라
1333700460000,13,사적,46,경주 원원사지,慶州 遠願寺址,37,경북,경주시,경주시,00460000,129.348575282105,35.6996296974009,13,신라
1333700470000,13,사적,47,경주 명활성,慶州 明活城,37,경북,경주시,경주시,00470000,129.262627049995,35.8403470821553,13,신라
1333700820000,13,사적,82,경주 천군동 사지,慶州 千軍洞 寺址,37,경북,경주시,경주시,00820000,129.281144968856,35.8317706220081,13,신라
1333800970000,13,사적,97,양산 신기리 산성,梁山 新基里 山城,38,경남,양산시,양산시,00970000,129.057994281672,35.3526521805008,13,신라
1333800980000,13,사적,98,양산 북부동 산성,梁山 北部洞 山城,38,경남,양산시,양산시,00980000,129.049034354625,35.3407815219295,13,신라
1333801310000,13,사적,131,합천 영암사지,陜川 靈岩寺址,38,경남,합천군,합천군,01310000,128.003530809629,35.4741470198834,13,신라
1333701380000,13,사적,138,경주 서출지,慶州 書出池,37,경북,경주시,경주시,01380000,129.242333246543,35.7964295626636,13,신라
1333801510000,13,사적,151,하동 고소성,河東 姑蘇城,38,경남,하동군,하동군,01510000,127.679057028074,35.1547560800498,13,신라
1333701580000,13,사적,158,경주 문무대왕릉,慶州 文武大王陵,37,경북,경주시,경주시,01580000,129.484385,35.73814,13,신라
